img_number,metadata_label,f_a_0,f_a_1,f_a_2,f_a_3,f_b_0,f_c_0,f_c_1,f_c_2,f_c_3,f_c_4
24310,1,0.042056609,68.79851018,5.474811486,298.796571,0.290317845,0.042056609,10.46751472,4.559872664,47.42096984,0.182654691
24313,1,0.041733573,23.6965786,1.885713809,301.1093869,0.063621395,0.041733573,6.724658143,3.368993707,28.18264457,0.530303164
24315,1,0.034791834,21.20928004,1.687780879,361.187359,0.082630187,0.034791834,7.157585994,1.163997007,11.91318661,0.592493974
24323,1,0.021085947,31.0834066,2.473538904,595.9595224,0.103693223,0.021085947,7.439975435,4.105050078,70.45106614,0.404279067
24332,1,0.017319748,20.86811781,1.660632051,725.5515948,0.024981844,0.017319748,8.426708159,-0.967814886,-18.55246702,0.602180356
24333,1,0.019752284,30.27975186,2.409586092,636.1983667,0.092018431,0.019752284,7.953659051,2.977857478,52.50389466,0.415009035
24345,1,0.056759243,36.56851372,2.91002986,221.3977848,0.981098868,0.056759243,6.233212784,2.648483527,30.82195063,0.343639086
24351,1,0.014181307,20.33236752,1.617998398,886.1221938,0.02202595,0.014181307,6.681445297,2.566338283,59.54941907,0.618047584
24367,1,0.041117499,19.59630901,1.559424722,305.6209894,0.01284651,0.041117499,8.689214254,-1.926666192,-15.62655333,0.641262118
24403,1,0.033722716,33.08006893,2.632428244,372.638158,0.122439418,0.033722716,6.639838104,7.391863452,77.82694311,0.379877401
24410,1,0.028511434,19.10929074,1.52066904,440.7484588,0.009243048,0.028511434,5.705787685,4.618349559,52.54639559,0.657605287
24411,1,0.076914373,21.72585196,1.728888366,163.3813041,0.081250208,0.076914373,6.91956872,1.602683167,7.676859507,0.578406345
24432,1,0.073421001,29.74557009,2.367077258,171.1549893,0.323327688,0.073421001,8.23796598,-1.017944243,-6.933738969,0.422461919
24436,1,0.024132278,17.11284912,1.361797264,520.7287437,0.010581288,0.024132278,5.796742064,3.19536108,43.47090616,0.734323696
24443,1,0.046066295,21.47568771,1.708980928,272.7888282,0.055251505,0.046066295,9.003738543,-2.007395791,-14.85603291,0.585144037
24449,1,0.046122967,16.70803463,1.329583151,272.4536491,0.052834123,0.046122967,6.441115582,1.288198487,9.373221275,0.752115428
24452,1,0.023042999,19.15589237,1.52437748,545.3444135,0.031832313,0.023042999,7.926776574,-0.78589191,-11.54190711,0.656005493
24457,1,0.039332754,51.5590543,4.102939176,319.4887008,0.429930529,0.039332754,7.608469065,8.547535201,91.15074904,0.243727717
24459,1,0.014758633,24.97438043,1.987398048,851.4589926,0.038850321,0.014758633,7.752522353,1.813006635,41.37099535,0.503170465
24461,1,0.032678374,29.22830393,2.325914524,384.5469952,0.162503792,0.032678374,10.69000663,-3.385284427,-38.7754331,0.429938413
24472,1,0.047701117,28.98741439,2.306745144,263.4397564,0.173465063,0.047701117,8.320467389,-0.228645021,-2.063709756,0.433511263
24481,1,0.029479245,18.99690615,1.511725758,426.278574,0.018435912,0.029479245,7.626825729,-0.713431791,-8.719344716,0.661495641
24482,1,0.017424393,28.32615685,2.254123941,721.1941632,0.097367283,0.017424393,9.596944277,-1.147179761,-22.99767288,0.443631329
24496,1,0.020412692,19.04593359,1.515627238,615.6155642,0.017280993,0.020412692,9.944703841,-4.02983084,-63.92217307,0.65979284
24504,1,0.030061216,41.53117525,3.304945917,418.0260187,0.317186883,0.030061216,7.726131652,5.568618306,74.89845233,0.302576812
24515,1,0.031324748,42.70797379,3.398592569,401.164298,0.161752367,0.031324748,9.796601741,1.34054996,16.75154216,0.294239448
24516,1,0.016200357,20.442616,1.626771693,775.684777,0.036830569,0.016200357,6.662562883,2.326948498,49.0254105,0.614714409
24537,1,0.025160994,32.23399385,2.565099728,499.4385672,0.070345555,0.025160994,9.392412592,0.503614798,6.941395067,0.38984839
24545,1,0.020486595,30.48243328,2.425714967,613.3947865,0.083294617,0.020486595,9.617662246,-0.91074838,-16.18245791,0.41224959
24546,1,0.025771459,41.73432943,3.321112413,487.6080484,0.165869862,0.025771459,11.11875043,-1.122519674,-16.35521086,0.30110393
24550,1,0.067668124,31.49418963,2.506227979,185.7059124,0.719664165,0.067668124,6.846891459,0.690802346,6.22971493,0.399006
24552,1,0.01994756,33.79408596,2.689247914,629.9702982,0.070807283,0.01994756,8.446011769,3.223008537,55.40210835,0.371851176
24564,1,0.026963813,28.07565614,2.234189727,466.0457476,0.119884058,0.026963813,10.80789331,-3.441746953,-45.01384841,0.447589561
24571,1,0.041251461,61.62985538,4.904348063,304.628496,0.196283348,0.041251461,11.50388495,0.801581489,8.459737366,0.203900699
24572,1,0.03228049,30.11206305,2.39624184,389.2868599,0.237547178,0.03228049,10.12266651,-2.993810471,-38.69990691,0.417320148
24573,1,0.041707547,22.87729061,1.820516943,301.2972821,0.135756858,0.041707547,7.32320675,1.382943191,11.89780486,0.549294531
24582,1,0.036599961,24.81529628,1.974738534,343.3438241,0.215940337,0.036599961,7.793437442,0.704801231,7.215185764,0.506396155
24586,1,0.059762687,19.45260359,1.547989009,210.2711789,0.054994773,0.059762687,7.672608133,-0.0742315,-0.414449888,0.645999419
24595,1,0.067522548,29.94772604,2.383164317,186.1062852,0.51551546,0.067522548,9.012368759,-2.862656628,-22.90817783,0.419610177
24624,1,0.090387796,37.30400851,2.968558675,139.0272931,0.785091176,0.090387796,6.347368077,4.936669332,28.44602203,0.336863815
24630,1,0.019570228,30.65214481,2.439220182,642.116719,0.073305914,0.019570228,8.014946158,3.069979519,54.12115619,0.40996709
24632,1,0.040303156,24.86140274,1.978407569,311.7961946,0.095352495,0.040303156,10.25272017,-3.665165996,-33.47471746,0.505457023
24634,1,0.036672151,21.0871959,1.678065732,342.6679425,0.044478933,0.036672151,9.450711213,-2.993556491,-28.2074754,0.595924213
24640,1,0.012431872,21.57105424,1.716569955,1010.818844,0.024715659,0.012431872,6.727939866,3.146190514,82.17484528,0.582557091
24652,1,0.039758172,37.00763489,2.944974012,316.0701309,0.177241102,0.039758172,11.49314455,-2.900801632,-27.34213882,0.33956157
24665,1,0.02837023,21.54516078,1.714509419,442.9421529,0.085978043,0.02837023,9.171108818,-2.604308171,-32.8400328,0.583257222
24666,1,0.035767655,31.0121203,2.467866121,351.3333686,0.129683399,0.035767655,9.936322228,-1.53551465,-15.94954345,0.405208367
24673,1,0.049278723,71.79785516,5.713491776,255.0060094,1.20810489,0.049278723,8.918082739,3.03795849,41.51212408,0.175024318
24675,1,0.105434663,16.65246925,1.325161398,119.1863309,0.015774961,0.105434663,7.78088374,-1.202294274,-3.709747015,0.75462506
24679,1,0.032214642,65.13490245,5.183270847,390.082581,0.317897692,0.032214642,9.943516935,5.901015325,75.72996607,0.192928371
24688,1,0.018528698,20.51670639,1.632667619,678.2112201,0.097403241,0.018528698,7.837331045,-0.615614462,-12.04378327,0.612494539
24701,1,0.033247464,56.58732244,4.503076041,377.9647865,0.214883975,0.033247464,9.040647324,3.195424633,49.16404978,0.222070423
24702,1,0.026572244,30.17733041,2.401435652,472.9134145,0.050509821,0.026572244,7.404612764,3.800616535,52.02158031,0.416417571
24729,1,0.034253712,25.49676022,2.028967711,366.8615729,0.092868325,0.034253712,6.787387504,3.483091992,37.19194919,0.492861466
24732,1,0.018836611,20.13148082,1.602012342,667.1248238,0.071730502,0.018836611,8.607501574,-2.032659536,-38.38620394,0.624214916
24739,1,0.059233541,36.28256103,2.887274468,212.1495749,0.20240949,0.059233541,11.40567173,-3.355779368,-22.38786578,0.346347398
24743,1,0.048194473,36.35385241,2.892947656,260.7429813,0.099393961,0.048194473,13.219323,-6.161765155,-49.81896312,0.345668197
24756,1,0.022149349,20.91744268,1.664557199,567.3471663,0.061004555,0.022149349,8.410105556,-1.221153871,-19.07440469,0.600760371
24792,1,0.017242815,21.50685083,1.71146081,728.7888159,0.027112948,0.017242815,6.604807486,3.212839797,61.80023695,0.584296172
24799,1,0.025098969,18.98379147,1.510682126,500.6727844,0.069883168,0.025098969,5.923038625,3.723888088,49.29355637,0.661952626
24805,1,0.024292961,26.81632286,2.133975169,517.2844371,0.067440011,0.024292961,7.362970597,3.268517381,46.09167113,0.468609014
24806,1,0.017366943,25.28357377,2.012002872,723.5798785,0.079082359,0.017366943,7.46812611,2.486715096,48.69620633,0.497017183
24823,1,0.016758601,23.88017481,1.900323932,749.8460277,0.076959294,0.016758601,7.298192804,2.340843829,47.41581393,0.526226073
24833,1,0.03080442,34.49723177,2.74520248,407.9405046,0.247786491,0.03080442,7.713099966,3.85940072,48.42112878,0.364271855
24848,1,0.020623122,29.72704957,2.365603442,609.3340698,0.112973637,0.020623122,8.474380079,1.27069246,22.17914719,0.422725121
24853,1,0.022347818,40.74958213,3.242748713,562.308612,0.25249079,0.022347818,6.872596305,9.881561345,156.4840832,0.308380355
24864,1,0.01864238,30.47858888,2.42540904,674.075463,0.037065365,0.01864238,8.919172145,1.268619529,22.82550009,0.412301589
24865,1,0.031347177,18.33370836,1.458950155,400.8772679,0.016876323,0.031347177,8.847609101,-2.470108994,-25.60304386,0.685424376
24875,1,0.035972903,30.40952205,2.419912875,349.3287886,0.188815912,0.035972903,8.39448783,0.147850173,1.742950247,0.413238018
24885,1,0.017607782,18.21744151,1.449697933,713.6827797,0.037650635,0.017607782,8.4867772,-1.874908387,-34.56971192,0.689798873
24886,1,0.030467703,37.52947046,2.986500368,412.4488959,0.097257648,0.030467703,7.699815475,6.028205893,70.24776821,0.334840073
24897,1,0.044760794,26.24923127,2.088847455,280.7450321,0.143458077,0.044760794,9.857775945,-2.407676997,-19.22542924,0.4787329
24898,1,0.014548167,18.90672503,1.504549373,863.7769137,0.030968419,0.014548167,8.032285076,-0.856995455,-19.32448843,0.664650837
24900,1,0.026639374,29.23499776,2.326447202,471.7217014,0.154706869,0.026639374,9.669039743,-2.20033853,-33.43798741,0.429839972
24911,1,0.054325901,15.88539111,1.264119259,231.3145372,0.008533319,0.054325901,6.795259038,0.378333769,2.269464238,0.791064603
24918,1,0.027087933,19.00024833,1.511991721,463.9102735,0.027671392,0.027087933,6.075256194,2.959074645,37.81627406,0.661379283
24930,1,0.019292397,27.39608713,2.180111344,651.3638895,0.044865913,0.019292397,9.882872427,-1.668390417,-29.1834524,0.458692169
24931,1,0.033894465,20.90132471,1.663274573,370.7499366,0.056121938,0.033894465,9.756294588,-3.323281279,-32.65222494,0.601223644
24932,1,0.029165914,17.19930379,1.368677108,430.8581045,0.01367239,0.029165914,7.711616039,-0.867998011,-9.698908006,0.730632517
24951,1,0.02363302,22.13943812,1.761800507,531.7293717,0.021201214,0.02363302,8.473682545,-0.439907273,-6.053640891,0.567601153
24952,1,0.017018515,18.21902155,1.449823669,738.3940637,0.010357414,0.017018515,7.161021299,0.587085357,11.32750011,0.68973905
24958,1,0.03453088,62.41462252,4.966797848,363.9168945,0.546127987,0.03453088,9.280838641,4.592004748,64.4656439,0.201336964
24961,1,0.051217125,48.66942702,3.872989944,245.3548638,0.651233683,0.051217125,7.698891891,3.748283811,40.41540527,0.25819845
24962,1,0.023463998,42.42829571,3.376336495,535.5596439,0.14154184,0.023463998,9.739027104,2.149425841,33.56874579,0.29617901
24967,1,0.022345869,22.44323939,1.785976244,562.3576622,0.027742112,0.022345869,6.525770654,2.879761582,47.12264348,0.559917862
24984,1,0.030738012,18.21150889,1.449225831,408.8218435,0.046985595,0.030738012,7.875374303,-1.164726843,-13.05745732,0.690023583
24987,1,0.029235708,47.54032105,3.783138546,429.8295342,0.113018481,0.029235708,9.236828811,5.377382627,64.77704881,0.26433079
25018,1,0.041074107,16.39590935,1.304745009,305.9438512,0.009399072,0.041074107,7.671769573,-1.033652169,-8.102169318,0.766433282
25019,1,0.021857656,30.41640711,2.420460772,574.9184943,0.099103073,0.021857656,7.828934928,2.52432666,43.33811437,0.413144477
25031,1,0.031767469,24.94017452,1.984676028,395.5735528,0.054767429,0.031767469,10.12803442,-3.046599252,-33.34922542,0.503860573
